編號,案類,發生日期,發生時段,發生地點
199,自行車竊盜,1040712,14~16,臺北市北投區文林里文林北路241~270號
200,自行車竊盜,1040712,18~20,臺北市北投區文林里文林北路241~270號
201,自行車竊盜,1040713,10~12,臺北市松山區新東街60巷1~30號
202,自行車竊盜,1040714,12~14,臺北市北投區中央里大興街24巷6弄1~30號
203,自行車竊盜,1040714,18~20,臺北市中山區劍南路捷運站自行車停放處
204,自行車竊盜,1040714,22~24,臺北市北投區石牌里自強街120巷15弄(口)
205,自行車竊盜,1040715,16~18,臺北市大同區國慶里民族西路252(大同公園)巷
206,自行車竊盜,1040716,16~18,臺北市文山區興泰里15鄰辛亥路4段130巷
207,自行車竊盜,1040718,18~20,臺北市南港區中南里忠孝東路7段361~390號
208,自行車竊盜,1040720,22~24,臺北市中山區建國南路1段1~30號
209,自行車竊盜,1040722,10~12,臺北市北投區永明里立農街2段331~360號
210,自行車竊盜,1040726,12~14,臺北市中正區新營里羅斯福路1段1~30號
211,自行車竊盜,1040727,08~10,臺北市南港區成福里成福路241~270號
212,自行車竊盜,1040727,20~22,臺北市大安區古莊里浦城街1~30號
213,自行車竊盜,1040728,18~20,臺北市士林區義信里中山北路5段61~90號
214,自行車竊盜,1040801,12~14,臺北市文山區興福里13鄰興隆路2段22巷8弄1~30號
215,自行車竊盜,1040802,10~12,臺北市中山區民族東路181~210號
216,自行車竊盜,1040803,00~02,臺北市信義區長春里虎林街82巷1~30號
217,自行車竊盜,1040803,14~16,臺北市文山區景華里三福街1~30號
218,自行車竊盜,1040804,06~08,臺北市北投區榮光里西安街1段(石牌捷運站2號
219,自行車竊盜,1040805,20~22,臺北市內湖區內湖路1段387巷3弄1~30號
220,自行車竊盜,1040806,02~04,臺北市信義區景勤里吳興街156巷31~60號
221,自行車竊盜,1040806,20~22,臺北市萬華區民和街31~60號
222,自行車竊盜,1040807,18~20,臺北市北投區大同里光明路1~30號
223,自行車竊盜,1040809,20~22,臺北市士林區福德里福德路1~30號
224,自行車竊盜,1040810,12~14,臺北市南港區三重里三重路1~30號
225,自行車竊盜,1040810,14~16,臺北市北投區大同里光明路1~30號
226,自行車竊盜,1040810,20~22,臺北市北投區石牌里明德路91~120號
227,自行車竊盜,1040814,00~02,臺北市南港區三重里(南港展覽館捷運站5號
228,自行車竊盜,1040814,10~12,臺北市信義區永春里中坡北路15巷(口)
229,自行車竊盜,1040815,00~02,臺北市士林區文林路91~120號
230,自行車竊盜,1040815,10~12,臺北市北投區承德路7段(洲美橋下)
231,自行車竊盜,1040816,00~02,臺北市信義區興隆里忠孝東路4段(國館捷運3號
232,自行車竊盜,1040816,12~14,臺北市大安區建倫里忠孝東路4段121~150號
233,自行車竊盜,1040817,20~22,臺北市南港區新光里忠孝東路6段451~480號
234,自行車竊盜,1040817,20~22,臺北市士林區天玉里中山北路7段51巷1~30號
235,自行車竊盜,1040819,14~16,臺北市大安區信義路與敦化路(口)
236,自行車竊盜,1040820,02~04,臺北市中正區黎明里館前路1~30號
237,自行車竊盜,1040821,08~10,臺北市大同區光能里赤峰街41巷1~30號
238,自行車竊盜,1040821,08~10,臺北市大同區光能里赤峰街41巷1~30號
239,自行車竊盜,1040821,14~16,臺北市大安區義安里信義路4段181~210號
240,自行車竊盜,1040823,10~12,臺北市中正區黎明里忠孝西路1段31~60號
241,自行車竊盜,1040824,00~02,臺北市信義區興雅里忠孝東路5段(市府捷運站YOUBIKE自行車停放區)
242,自行車竊盜,1040826,18~20,臺北市大安區芳和里5鄰和平東路3段151~180號
243,自行車竊盜,1040828,18~20,臺北市內湖區康樂街76巷1~30號
244,自行車竊盜,1040830,08~10,臺北市士林區福德里中正路435巷1~30號
245,自行車竊盜,1040830,16~18,臺北市大安區住安里復興南路2段1~30號
246,自行車竊盜,1040830,18~20,臺北市北投區石牌里明德路91~120號
247,自行車竊盜,1040831,10~12,臺北市南港區合成里忠孝東路6段403巷(口)
248,自行車竊盜,1040901,16~18,臺北市士林區承德里基河路1~30號
249,自行車竊盜,1040902,00~02,臺北市大安區古風里雲和街61~90號
250,自行車竊盜,1040903,06~08,臺北市信義區新仁里忠孝東路4段(光復南路口國館4號
251,自行車竊盜,1040904,14~16,臺北市文山區興泰里辛亥路4段(辛亥捷運站自行車停車格)
252,自行車竊盜,1040906,20~22,臺北市大同區玉泉里捷運北門站2號
253,自行車竊盜,1040907,16~18,臺北市北投區光明路1~30號
254,自行車竊盜,1040907,18~20,臺北市大安區學府里辛亥路與羅斯福路口
255,自行車竊盜,1040908,06~08,臺北市士林區舊佳里中正路211~240號
256,自行車竊盜,1040909,16~18,臺北市北投區石牌里西安街1段(明德捷運站旁人行道)
257,自行車竊盜,1040910,06~08,臺北市士林區義信里中山北路5段61~90號
258,自行車竊盜,1040910,12~14,臺北市內湖區民權東路6段136巷31~60號
259,自行車竊盜,1040911,06~08,臺北市士林區德行里福國路61~90號
260,自行車竊盜,1040912,12~14,臺北市士林區義信里中山北路5段61~90號
261,自行車竊盜,1040912,22~24,臺北市大同區老師里延平北路4段181~210號
262,自行車竊盜,1040913,08~10,臺北市中正區黎明里北平西路3段((臺北火車站外東北角行人道))
263,自行車竊盜,1040913,20~22,臺北市中正區黎明里常德街1~30號
264,自行車竊盜,1040914,06~08,臺北市內湖區成功路2段321巷
265,自行車竊盜,1040914,18~20,臺北市大同區華陰街24巷6弄
266,自行車竊盜,1040914,18~20,臺北市中山區華陰街24巷6弄
267,自行車竊盜,1040915,00~02,臺北市松山區民生東路5段137巷口
268,自行車竊盜,1040915,00~02,臺北市大安區瑞安街208巷1~30號
269,自行車竊盜,1040915,02~04,臺北市中正區新營里羅斯福路1段83巷1~30號
270,自行車竊盜,1040915,04~06,臺北市中正區文祥里杭州南路1段101巷1~30號
271,自行車竊盜,1040915,06~08,臺北市中山區建國北路2段91~120號
272,自行車竊盜,1040915,20~22,臺北市中正區幸福里忠孝東路1段58巷(善導寺捷運站3號
273,自行車竊盜,1040915,20~22,臺北市大安區復興南路1段361~390號
274,自行車竊盜,1040917,04~06,臺北市信義區基隆路1段121~150號
275,自行車竊盜,1040917,16~18,臺北市萬華區西寧南路61~90號
276,自行車竊盜,1040918,06~08,臺北市大安區羅斯福路2段15巷
277,自行車竊盜,1040919,18~20,臺北市大同區鄭州路121~150號
278,自行車竊盜,1040919,18~20,臺北市士林區葫東里重慶北路4段220巷1~30號
279,自行車竊盜,1040919,22~24,臺北市中正區建國里(中山南路與愛國西路口)
280,自行車竊盜,1040921,16~18,臺北市文山區萬年里羅斯福路5段170巷(公館街口)
281,自行車竊盜,1040923,08~10,臺北市士林區社園里延平北路6段151~180號
282,自行車竊盜,1040923,16~18,臺北市中正區南門里廣州街8巷(口)
283,自行車竊盜,1040924,06~08,臺北市大同區至聖里承德路3段225巷1~30號
284,自行車竊盜,1040924,08~10,臺北市大同區至聖里承德路3段225巷1~30號
285,自行車竊盜,1040926,22~24,臺北市松山區市民大道6段(腳踏車停放區)
286,自行車竊盜,1040929,08~10,臺北市中山區南京東路3段與龍江路口
287,自行車竊盜,1041001,10~12,臺北市大安區學府里羅斯福路4段1~30號
288,自行車竊盜,1041001,16~18,臺北市士林區中山北路忠誠路口
289,自行車竊盜,1041001,22~24,臺北市中山區圓山捷運站自行車停車場
290,自行車竊盜,1041002,08~10,臺北市大安區羅斯福路2段31~60號
291,自行車竊盜,1041002,22~24,臺北市內湖區港墘路127巷1~30號
292,自行車竊盜,1041004,02~04,臺北市大安區杭州南路2段93巷31~60號
293,自行車竊盜,1041004,18~20,臺北市萬華區漢口街2段61~90號
294,自行車竊盜,1041005,18~20,臺北市大同區光能里南京西路25巷1~30號
295,自行車竊盜,1041005,18~20,臺北市中山區南京西路25巷1~30號
296,自行車竊盜,1041006,16~18,臺北市大同區玉泉里忠孝西路(塔城街)
