Name,Address
臺北市中正區忠義國民小學附設幼兒園,100臺北市中正區忠勤里1鄰中華路二段307巷17號
臺北市中正區東門國民小學附設幼兒園,100臺北市中正區東門里16鄰仁愛路一段2之4號
臺北市中正區河堤國民小學附設幼兒園,100臺北市中正區河堤里2鄰汀州路二段180號
臺北市中正區南門國民小學附設幼兒園,100臺北市中正區南門里14鄰廣州街6號
臺北市中正區國語實驗國民小學附設幼兒園,100臺北市中正區南門里10鄰重慶南路二段14之4號
臺北市中正區螢橋國民小學附設幼兒園,100臺北市中正區螢雪里9鄰詔安街29號
臺北市中華電信大安職場互助教保服務中心（委託社團法人台灣幼兒早期教育協會辦理）,106臺北市大安區信義路四段74巷8弄4號
臺北市中華電信仁愛職場互助教保服務中心（委託社團法人台灣幼兒早期教育協會辦理）,100臺北市中正區仁愛路1段42號
臺北市中華電信北投職場互助教保服務中心（委託社團法人台灣幼兒早期教育協會辦理）,112臺北市北投區光明路176號
臺北市內湖區大湖國民小學附設幼兒園,114臺北市內湖區大湖里9鄰大湖山莊街170號
臺北市內湖區內湖國民小學附設幼兒園,114臺北市內湖區港富里22鄰內湖路二段41號
臺北市內湖區文湖國民小學附設幼兒園,114臺北市內湖區西康里4鄰文湖街15號
臺北市內湖區西湖國民小學附設幼兒園,114臺北市內湖區西湖里13鄰環山路一段25號
臺北市內湖區明湖國民小學附設幼兒園,114臺北市內湖區明湖里9鄰康寧路三段105號
臺北市內湖區東湖國民小學附設幼兒園,114臺北市內湖區東湖里1鄰東湖路115號
臺北市內湖區南湖國民小學附設幼兒園,114臺北市內湖區葫洲里25鄰康寧路三段200號
臺北市內湖區康寧國民小學附設幼兒園,114臺北市內湖區清白里30鄰星雲街121號
臺北市內湖區新湖國民小學附設幼兒園,114臺北市內湖區湖興里15鄰民權東路六段138號
臺北市內湖區碧湖國民小學附設幼兒園,114臺北市內湖區內湖里6鄰金龍路100號
臺北市內湖區潭美國民小學附設幼兒園,114臺北市內湖區週美里21鄰行善路179號
臺北市內湖區麗山國民小學附設幼兒園,114臺北市內湖區麗山里9鄰港華街100號
臺北市內湖區麗湖國民小學附設幼兒園,114臺北市內湖區金湖里2鄰金湖路363巷8號
臺北市天母非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,111臺北市士林區天玉里3鄰天玉街12號
臺北市天堂愛職場互助教保服務中心,106臺北市大安區敦安里21鄰信義路四段137號
臺北市文山區力行國民小學附設幼兒園,116臺北市文山區樟腳里21鄰木新路三段155巷7號
臺北市文山區木柵國民小學附設幼兒園,116臺北市文山區木柵里1鄰木柵路3段191號
臺北市文山區志清國民小學附設幼兒園,116臺北市文山區景仁里10鄰景福街21巷5號
臺北市文山區辛亥國民小學附設幼兒園,116臺北市文山區興昌里7鄰辛亥路4段103號
臺北市文山區明道國民小學附設幼兒園,116臺北市文山區明義里18鄰木柵路2段138巷61號
臺北市文山區武功國民小學附設幼兒園,116臺北市文山區萬祥里1鄰興隆路一段68號
臺北市文山區指南國民小學附設幼兒園,116臺北市文山區指南里4鄰指南路3段38巷5之2號
臺北市文山區景美國民小學附設幼兒園,116臺北市文山區景行里4鄰景文街108號
臺北市文山區景興國民小學附設幼兒園,116臺北市文山區興安里21鄰景華街150巷21號
臺北市文山區溪口國民小學附設幼兒園,116臺北市文山區景慶里5鄰景福街225號
臺北市文山區萬芳國民小學附設幼兒園,116臺北市文山區萬美里8鄰萬和街1號
臺北市文山區萬福國民小學附設幼兒園,116臺北市文山區萬年里10鄰羅斯福路5段170巷32號
臺北市文山區萬興國民小學附設幼兒園,116臺北市文山區萬興里19鄰秀明路2段114號
臺北市文山區興華國民小學附設幼兒園,116臺北市文山區興光里8鄰興隆路3段125巷6號
臺北市文山區興隆國民小學附設幼兒園,116臺北市文山區興旺里1鄰福興路2號
臺北市文山區興德國民小學附設幼兒園,116臺北市文山區興豐里25鄰興隆路2段235號
臺北市文修非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,116臺北市文山區萬祥里1鄰興隆路一段68號
臺北市北投區大屯國民小學附設幼兒園,112臺北市北投區大屯里4鄰復興三路312號
臺北市北投區文化國民小學附設幼兒園,112臺北市北投區文化里13鄰文化三路1號
臺北市北投區文林國民小學附設幼兒園,112臺北市北投區建民里15鄰文林北路155號
臺北市北投區北投國民小學附設幼兒園,112臺北市北投區大同里7鄰中央北路一段73號
臺北市北投區石牌國民小學附設幼兒園,112臺北市北投區吉利里1鄰致遠二路80號
臺北市北投區立農國民小學附設幼兒園,112臺北市北投區立農里17鄰立農街一段250號
臺北市北投區明德國民小學附設幼兒園,112臺北市北投區榮華里13鄰明德路190號
臺北市北投區桃源國民小學附設幼兒園,112臺北市北投區桃源里7鄰中央北路三段40巷45號
臺北市北投區清江國民小學附設幼兒園,112臺北市北投區奇岩里16鄰公館路220號
臺北市北投區湖山國民小學附設幼兒園,112臺北市北投區湖山里14鄰湖底路11號
臺北市北投區逸仙國民小學附設幼兒園,112臺北市北投區中心里2鄰新民路2號
臺北市北投區義方國民小學附設幼兒園,112臺北市北投區開明里14鄰珠海路155號
臺北市北投區關渡國民小學附設幼兒園,112臺北市北投區一德里20鄰中央北路四段581號
臺北市市政大樓員工子女非營利幼兒園（委託臺北市公務人員協會辦理）,110臺北市信義區西村里8鄰市府路1號
臺北市正義非營利幼兒園（委託社團法人中華婦幼發展協會辦理）,106臺北市大安區義村里15鄰忠孝東路三段216巷4弄41號
臺北市民生非營利幼兒園（委託財團法人台北市中華基督教青年會辦理）,105臺北市松山區新東里15鄰新東街30巷1號
臺北市永建非營利幼兒園（委託社團法人台北市教保人員協會辦理）,116臺北市文山區華興里7鄰木柵路一段311巷1號
臺北市石壁潭非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,114臺北市內湖區石潭里17鄰新明路22號
臺北市立士林幼兒園,111臺北市士林區福華里17鄰通河街179巷2號
臺北市立大同幼兒園,103臺北市大同區建泰里5鄰南京西路64巷9弄8號
臺北市立大安幼兒園,106臺北市大安區群英里32鄰四維路198巷31弄11號
臺北市立大學附設實驗國民小學附設幼兒園,100臺北市中正區建國里4鄰公園路29號
臺北市立中山幼兒園,104臺北市中山區大直里21鄰大直街25號
臺北市立中正幼兒園,100臺北市中正區幸市里8鄰濟南路二段46號
臺北市立內湖幼兒園,114臺北市內湖區瑞光里20鄰陽光街265巷9號
臺北市立文山幼兒園,116臺北市文山區明義里19鄰興隆路四段105巷1號
臺北市立文山特殊教育學校幼兒部,116臺北市文山區木柵里19鄰秀明路1段169號
臺北市立北投幼兒園,112臺北市北投區榮華里13鄰明德路208巷5號
臺北市立育航幼兒園,104臺北市中山區復華里18鄰長春路256號
臺北市立松山幼兒園,105臺北市松山區精忠里1鄰敦化北路199巷5號
臺北市立信義幼兒園,110臺北市信義區西村里18鄰基隆路一段364巷20、24號
臺北市立南海實驗幼兒園,108臺北市萬華區雙園里18鄰西藏路424號
臺北市立南港幼兒園,115臺北市南港區重陽里5鄰重陽路199巷28號
臺北市立南港高級中學教師會附設臺北市私立員工子女幼兒園,115臺北市南港區西新里3鄰向陽路21號
臺北市立啟明學校幼兒部,111臺北市士林區三玉里10鄰忠誠路2段207巷1號
臺北市立啟智學校幼兒部,111臺北市士林區三玉里10鄰忠誠路2段207巷3號
臺北市立啟聰學校幼兒部,103臺北市大同區老師里13鄰重慶北路3段320號
臺北市立敦化國民中學教師會附設臺北市私立員工子女幼兒園,105臺北市松山區中正里11鄰南京東路3段300號
臺北市立萬華幼兒園,108臺北市萬華區青山里14鄰梧州街36號
臺北市吉中非營利幼兒園（委託財團法人台北基督教女青年會辦理）,110臺北市信義區四育里8鄰松隆路161號
臺北市吉利非營利幼兒園（委託社團法人台北市親子成長協會辦理）,112臺北市北投區立農里25鄰立農街一段366號
臺北市向陽非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,115臺北市南港區西新里1鄰向陽路31號
臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,106臺北市大安區龍陣里13鄰瑞安街75號
臺北市西中非營利幼兒園（委託財團法人靖娟兒童安全文教基金會辦理）,114臺北市內湖區西湖里2鄰環山路一段27號
臺北市妙善非營利幼兒園（委託財團法人福智文教基金會辦理）,114臺北市內湖區行善里18鄰行善路25巷13號
臺北市妙善非營利幼兒園（委託財團法人福智文教基金會辦理）行善分班,114臺北市內湖區行善里21鄰行善路25巷11號
臺北市私立一德幼兒園,112臺北市北投區榮華里16鄰明德路136巷9號
臺北市私立人安幼兒園,106臺北市大安區住安里15鄰四維路154巷19號
臺北市私立十大幼兒園,111臺北市士林區三玉里6鄰天母東路92號
臺北市私立三民幼兒園,105臺北市松山區東榮里9鄰民生東路五段69巷2弄37.39.41號
臺北市私立三愛幼兒園,106臺北市大安區大學里6鄰溫州街48巷15號
臺北市私立三暉幼兒園,106臺北市大安區錦華里18鄰和平東路一段91號
臺北市私立三義幼兒園,116臺北市文山區木柵里27鄰木柵路三段48巷1弄16、18、20號
臺北市私立上愛幼兒園,106臺北市大安區大學里7鄰溫州街52巷14號
臺北市私立上群蒙特梭利幼兒園,106臺北市大安區義村里20鄰仁愛路3段123巷5號
臺北市私立上群蒙特梭利忠孝幼兒園,110臺北市信義區興雅里24鄰忠孝東路5段207號
臺北市私立上群蒙特梭利信義幼兒園,110臺北市信義區富台里14鄰忠孝東路5段217號
臺北市私立上學趣蒙特梭利幼兒園,106臺北市大安區誠安里5鄰忠孝東路3段251巷9弄 8、10號
臺北市私立千千幼兒園,116臺北市文山區木柵里3鄰木柵路三段85巷8弄5號
臺北市私立大大樹幼兒園,115臺北市南港區合成里8鄰玉成街46及48號
臺北市私立大方凌雲幼兒園,115臺北市南港區九如里12鄰研究院路三段2巷2、6、8號
臺北市私立大成幼兒園,106臺北市大安區古莊里14鄰雲和街8號
臺北市私立大理幼兒園,108臺北市萬華區和平里10鄰雙園街67巷3弄3、4、5、7號
臺北市私立大智幼兒園,104臺北市中山區永安里28鄰明水路397巷7弄24號
臺北市私立大華幼兒園,115臺北市南港區聯成里4鄰忠孝東路6段212巷4弄5、7及9號
臺北市私立大愛幼兒園,104臺北市中山區松江里11鄰松江路221巷15號
臺北市私立大瑪幼兒園,106臺北市大安區群賢里4鄰和平東路二段265巷44號
臺北市私立子畝蒙特梭利幼兒園,110臺北市信義區松光里10鄰忠孝東路5段558號
臺北市私立子愛幼兒園,116臺北市文山區順興里6鄰興隆路四段165巷3、5號
臺北市私立小小百合蒙特梭利幼兒園,114臺北市內湖區西湖里2鄰星雲街38號
臺北市私立小天心幼兒園,106臺北市大安區錦泰里11鄰潮州街57號
臺北市私立小天心茜茜幼兒園,106臺北市大安區龍泉里7鄰泰順街26巷39號
臺北市私立小伊園幼兒園,104臺北市中山區中央里13鄰伊通街27之1號
臺北市私立小百合蒙特梭利幼兒園,114臺北市內湖區紫星里7鄰星雲街37號
臺北市私立小甜甜幼兒園,104臺北市中山區行仁里1鄰五常街51號
臺北市私立小荳荳幼兒園,114臺北市內湖區寶湖里13鄰民權東路六段172號
臺北市私立小敦園幼兒園,105臺北市松山區中華里8鄰敦化北路145巷55號
臺北市私立小綠山森林幼兒園,114臺北市內湖區金湖里8鄰成功路五段臨37號
臺北市私立小慶園幼兒園,105臺北市松山區中正里27鄰慶城街16巷9-1號
臺北市私立小樹苗華頓幼兒園,108臺北市萬華區新和里4鄰青年路30巷1號
臺北市私立小瓢蟲幼兒園,114臺北市內湖區紫星里7鄰星雲街35號
臺北市私立小親親幼兒園,105臺北市松山區東昌里12鄰民生東路4段80巷15弄3號
臺北市私立小騎士幼兒園,115臺北市南港區成福里30鄰成福路183號
臺北市私立山秀幼兒園,104臺北市中山區成功里13鄰明水路606巷16號
臺北市私立山谷小百合蒙特梭利幼兒園,114臺北市內湖區明湖里17鄰康寧路三段189巷56及58號
臺北市私立中山國民小學附設幼兒園,116臺北市文山區華興里28鄰木柵路1段378巷26號
臺北市私立中正區清華幼兒園,100臺北市中正區建國里2鄰貴陽街一段58號
臺北市私立丹佛幼兒園,112臺北市北投區永欣里11鄰石牌路二段358之1號
臺北市私立予心屋幼兒園,106臺北市大安區光信里13鄰光復南路420巷19號
臺北市私立五常幼兒園,104臺北市中山區下埤里7鄰龍江路377巷24號
臺北市私立仁和幼兒園,106臺北市大安區誠安里5鄰忠孝東路三段251巷9弄8號
臺北市私立仁美幼兒園,116臺北市文山區木柵里7鄰木柵路3段85巷14弄14號
臺北市私立仁愛幼兒園,106臺北市大安區和安里11鄰信義路三段147巷15弄27號
臺北市私立內湖科見幼兒園,114臺北市內湖區金湖里15鄰成功路五段460號
臺北市私立六三幼兒園,110臺北市信義區三犁里7鄰信義路5段150巷351號
臺北市私立友友幼兒園,105臺北市松山區東光里11鄰南京東路五段23巷6弄9號
臺北市私立友丞幼兒園,104臺北市中山區江山里26鄰錦州街452號
臺北市私立友愛幼兒園,110臺北市信義區松光里13鄰忠孝東路5段524巷5弄23號
臺北市私立及愛菁英幼兒園,106臺北市大安區古風里14鄰辛亥路一段79號
臺北市私立天母蒙特梭利幼兒園,111臺北市士林區天玉里12鄰天母西路95巷21號
臺北市私立天喜幼兒園,105臺北市松山區新益里1鄰民權東路五段102號
臺北市私立天琪幼兒園,110臺北市信義區泰和里28鄰吳興街600巷83弄16、18號
臺北市私立天華幼兒園,112臺北市北投區清江里1鄰清江路25巷7號
臺北市私立太和蒙特梭利幼兒園,111臺北市士林區蘭雅里15鄰中山北路六段290巷7弄7號
臺北市私立太和騰幼兒園,111臺北市士林區社新里15鄰延平北路6段227號
臺北市私立心美蒙特梭利幼兒園,112臺北市北投區永明里12鄰東華街二段92號
臺北市私立心惠幼兒園,114臺北市內湖區港富里7鄰麗山街62巷18弄2、4、6號
臺北市私立心愛幼兒園,111臺北市士林區天母里1鄰中山北路七段190巷104號
臺北市私立心聲幼兒園,106臺北市大安區龍坡里5鄰新生南路三段22巷14號
臺北市私立心藝術幼兒園,106臺北市大安區永康里2鄰永康街14巷8號
臺北市私立文山仁和幼兒園,116臺北市文山區樟文里1鄰忠順街一段10巷11.13.15號
臺北市私立文山懷恩幼兒園,116臺北市文山區興旺里22鄰福興路63巷4弄26、28號
臺北市私立文心幼兒園,114臺北市內湖區紫星里19鄰星雲街68巷8、10、12號
臺北市私立日晴幼兒園,111臺北市士林區福中里10鄰福港街158號
